SPECIES,Genus,sp,species_name
POLY MUL,,,Polygonatum multiflorum
POLY ODO,,,Polygonatum odoratum
POLY SET,Polystichum,setiferum,Polystichum setiferum
POLY VER,,,Polygonatum verticillatum
POLY VIV,,,Polygonum viviparum
POLY VUE,,,Polypodium vulgare
POLYGALZ,,,Polygala sp.
POLYPODZ,,,Polypodium sp.
POLYTUMZ,,,Polygonatum sp.
POPU TRA,,,Populus tremula
POPULUSZ,,,Populus sp.
POTE ERE,,,Potentilla erecta
POTE MIC,,,Potentilla micrantha
POTE PAL,,,Potentilla palustris
POTE STE,,,Potentilla sterilis
PREN PUR,,,Prenanthes purpurea
PRIAUBO,,,Primula auricula
PRICLUS,,,Primula clusiana
PRIM ACA,,,
PRIM ELA,,,Primula elatior
PRIM VER,,,Primula veris
PRIM VUL,,,Primula vulgaris
PRUN AVI,,,Prunus avium
PRUN PAD,,,Prunus padus
PRUN SPI,,,Prunus spinosa
PRUN VUL,,,Prunella vulgaris
PRUNUS Z,,,Prunus sp.
PTER AQU,,,Pteridium aquilinum
PULKERN,,,Pulmonaria kerneri
PULM APE,,,
PULM OFF,,,Pulmonaria officinalis
PULS MON,Pulsatilla,montana,Pulsatilla montana
PYRO CHL,,,Pyrola chlorantha
PYRO MIN,,,Pyrola minor
PYRO ROT,,,Pyrola rotundifolia
PYROLA Z,,,Pyrola sp.
PYRU COM,,,Pyrus communis
PYRU PYR,,,Pyrus pyraster
PYRUS Z,,,Pyrus sp.
QUER CER,,,Quercus cerris
QUER ILE,Quercus,ilex,Quercus ilex
QUER PET,,,Quercus petraea
QUER PUB,,,Quercus pubescens
QUER PYR,,,Quercus pyrenaica
QUER ROB,,,Quercus robur
QUER RUB,,,Quercus rubra
RANU ACR,,,Ranunculus acris
RANU FIC,,,Ranunculus ficaria
RANU LAN,,,Ranunculus lanuginosus
RANU MON,,,Ranunculus monophyllus
RANU NEM,,,Ranunculus nemorosus
RANU RNS,,,Ranunculus repens
RANU SER,,,Ranunculus serpens
RANU TUB,,,Ranunculus tuberosus
RANUNCUZ,,,Ranunculus sp.
REIC*RIV,,,Viola reichenbachiana
RHAM CAT,,,Rhamnus catharticus
RHIN MIN,,,Rhinanthus minor
RHOCHAM,,,Rhodothamnus chamaecistus
RHOD FER,Rhododendron,ferrugineum,Rhododendron ferrugineum
RHOHIRS,,,Rhododendron hirsutum
RIBE UVA,,,Ribes uva-crispa
ROBI PSE,,,Robinia pseudacacia
ROSA   Z,,,ROSA SP.
ROSA CAN,,,Rosa canina
ROSA SEM,Rosa,sempervirens,Rosa sempervirens
ROSARVE,Rosa,arvensis,Rosa arvensis
ROSPEND,Rosa,pendulina,Rosa pendulina
RUBHIRT,Rubus,hirtus,Rubus hirtus
RUB HIRT,Rubus,hirtus,Rubus hirtus
RUBI PER,Rubia,peregrina,Rubia peregrina
RUBU ARC,,,Rubus arcticus
RUBU CAE,,,Rubus caesius
RUBU CHM,,,Rubus chamaemorus
RUBU IDA,,,Rubus idaeus
RUBU SAX,,,Rubus saxatilis
RUBU ULM,,,Rubus ulmifolius
RUBU/COR,,,Rubus corylifolius
RUBU/FRU,,,Rubus fruticosus
RUBUBIFR,,,Rubus bifrons
RUBUS  Z,,,Rubus sp.
RUME ALA,,,Rumex acetosella
RUME ASA,,,Rumex acetosa
RUME OBT,,,Rumex obtusifolius
RUSC ACU,Ruscus,aculeatus,Ruscus aculeatus
RUSC ACU,Ruscus,aculeatus,Ruscus aculeatus
SALAPPE,,,Salix appendiculata
SALGLAB,,,Salix glabra
SALI AUR,,,Salix aurita
SALI CAP,,,Salix caprea
SALI CIN,,,Salix cinerea
SALI GAU,,,Salix glauca
SALI LAP,,,Salix lapponum
SALI MFL,,,Salix myrsinifolia
SALI PHY,,,Salix phylicifolia
SALI SIL,,,Salix silesiaca
SALIX  Z,,,Salix sp.
SALV GLU,,,Salvia glutinosa
SAMB NIG,,,Sambucus nigra
SAMB RAC,,,Sambucus racemosa
SANI EUR,,,Sanicula europaea
SAXI CUN,Saxifraga,cuneifolia,Saxifraga cuneifolia
SAXI HIR,,,Saxifraga hirculus
SCALUCI,,,Scabiosa lucida
SCHE PAL,,,Scheuchzeria palustris
SCIL BIF,,,Scilla bifolia
SCIL LIL,,,Scilla lilio-hyacinthus
SCIR CES,,,Scirpus cespitosus
SCIR SYL,,,Scirpus sylvaticus
SCRO ALP,,,Scrophularia alpestris
SCRO NOD,,,Scrophularia nodosa
SCUT COL,Scutellaria,columnae,Scutellaria columnae
SEDU CEP,Sedum,cepaea,Sedum cepaea
SELA SEL,,,Selaginella selaginoides
SENE FUC,,,Senecio fuchsii
SENE NEM,,,Senecio nemorensis
SENE SYL,,,Senecio sylvaticus
SENGEGL,,,Senecio germanicus
SENSUBA,,,Senecio subalpinus
SERR TIN,,,Serratula tinctoria
SESL ALB,,,Sesleria albicans
SILE DIO,,,Silene dioica
SILE ITA,,,Silene italica
SILE VIR,Silene,viridiflora,Silene viridiflora
SILE VUL,,,Silene vulgaris
SMIL ASP,Smilax,aspera,Smilax aspera
SO AU.AU,,,Sorbus aucuparia
SO VI.VI,,,Solidago virgaurea
SOLA DUL,,,Solanum dulcamara
SOLD CAR,,,Soldanella carpatica
SOLD MON,,,Soldanella montana
SOLI VIR,,,Solidago virgaurea
SORAUST,,,Sorbus austriaca
SORB ARI,,,Sorbus aria
SORB AUC,,,Sorbus aucuparia
SORB DOM,Sorbus,domestica,Sorbus domestica
SORB INT,,,Sorbus intermedia
SORB TOR,,,Sorbus torminalis
STAC OFF,,,Stachys officinalis
STAC PAL,,,Stachys palustris
STAC SYL,,,Stachys sylvatica
STEL ALS,,,Stellaria alsine
STEL GRA,,,Stellaria graminea
STEL MED,,,Stellaria media
STEL NEM,,,Stellaria nemorum
STEL ULI,,,Stellaria uliginosa
STREAMPL,,,Streptopus amplexifolius
SYMTUBE,Symphytum,tuberosum,Symphytum tuberosum
T/OFFICI,,,Taraxacum officinale
TAMU COM,Tamus,communis,Tamus communis
TANA COR,,,Tanacetum corymbosum
TARAXACZ,,,Taraxacum sp.
TAXU BAC,,,Taxus baccata
TEUC CHA,,,Teucrium chamaedrys
TEUC SBI,,,
TEUC SDO,,,Teucrium scorodonia
TEUC SIC,,,
THAL AQU,,,Thalictrum aquilegifolium
THEL LIM,,,Thelypteris limbosperma
THEL PHE,,,Thelypteris phegopteris
THES ALP,,,Thesium alpinum
THESIUM Z,,,Thesium sp.
THYM PRA,,,Thymus praecox
TILI COR,,,Tilia cordata
TOFI CAL,,,Tofieldia calyculata
TRIALPE,,,Trisetum alpestre
TRIE EUR,,,Trientalis europaea
TRIF HYB,,,Trifolium hybridum
TRIF OCH,Trifolium,ochroleucon,Trifolium ochroleucon
TRIF PRA,,,Trifolium pratense
TRIF REP,,,Trifolium repens
TRIS FLA,,,Trisetum flavescens
TROC NOD,Trochiscanthes,nodiflora,Trochiscanthes nodiflora
TROL EUR,,,Trollius europaeus
TUSS FAR,,,Tussilago farfara
ULEX GAL,,,Ulex gallii
ULMU GLA,,,Ulmus glabra
ULMU MIN,,,Ulmus minor
URTI DIO,,,Urtica dioica
VACC MIC,,,Vaccinium microcarpum
VACC MYR,,,Vaccinium myrtillus
VACC OXY,,,Vaccinium oxycoccos
VACC ULI,,,Vaccinium uliginosum
VACC VIT,,,Vaccinium vitis-idaea
VALE TRI,Valeriana,tripteris,Valeriana tripteris
VALEECAR,,,Valerianella carinata
VALMONT,,,Valeriana montana
VALSAXA,,,Valeriana saxatilis
VALWALL,,,Valeriana wallrothii
VE SE.SE,,,Veronica serpyllifolia
VERA ALB,,,Veratrum album
VERB OFF,,,Verbena officinalis
VERB THA,,,Verbascum thapsus
VERO CHA,,,Veronica chamaedrys
VERO MON,,,Veronica montana
VERO OFF,,,Veronica officinalis
VERO SCU,,,Veronica scutellata
VERO URT,Veronica,urticifolia,Veronica urticifolia
VERONICZ,,,Veronica sp.
VEROVIND,,,Veronica vindobonensis
VIBU LAN,,,Viburnum lantana
VIBU OPU,,,Viburnum opulus
VIBU TIN,Viburnum,tinus,Viburnum tinus
VICI CRA,,,Vicia cracca
VICI SEP,,,Vicia sepium
VICIA  Z,,,VICIA SP.
VINC HIR,,,Vincetoxicum hirundinaria
VINC MIN,,,Vinca minor
VIOL ALB,,,Viola alba
VIOL BIF,,,Viola biflora
VIOL HIR,,,Viola hirta
VIOL MIR,,,Viola mirabilis
VIOL ODO,,,Viola odorata
VIOL PAL,,,Viola palustris
VIOL REI,,,Viola reichenbachiana
VIOL RIV,,,Viola riviniana
VIOLA  Z,,,VIOLA SP.
VISC ALB,,,Viscum album
VISCUM Z,,,VISCUM SP.
VITI VIN,Vitis,vinifera,Vitis vinifera
ALE OCHR,Alectoria,ochroleuca,Alectoria ochroleuca
AMBL SER,Amblystegium,serpens,Amblystegium serpens
AMBL SERM,,,Amblystegium serpens
AMBL VAR,Amblystegium,varium,Amblystegium varium
ANAS CAV,,,Anastrophyllum cavifolium
ANAS ORC,Anastrepta,orcadensis,Anastrepta orcadensis
ANASTROZ,,, 
ANEU PIN,Aneura,pinguis,Aneura pinguis
ANOM LON,Anomodon,longifolius,Anomodon longifolius
ATRI TEN,Atrichum,tenellum,Atrichum tenellum
ATRI UND,Atrichum,undulatum,Atrichum undulatum
AULA PAL,Aulacomnium,palustre,Aulacomnium palustre
BAEOMYCZ,Baeomyces,rufus,Baeomyces rufus
BARB ATT,Barbilophozia,attenuata,Barbilophozia attenuata
BARB BAR,Barbilophozia,barbata,Barbilophozia barbata
BARB FLO,Barbilophozia,floerkei,Barbilophozia floerkei
BARB HAT,Barbilophozia,hatcheri,Barbilophozia hatcheri
BARB LYC,Barbilophozia,lycopodioides,Barbilophozia lycopodioides
BARBILOZ,,,Barbilophozia sp.
BAZZ TRL,Bazzania,tricrenata,Bazzania tricrenata
BLEP TRI,Blepharostoma,trichophyllum,Blepharostoma trichophyllum
BRAC MIL,Brachythecium,mildeanum,Brachythecium mildeanum
BRAC OED,Brachythecium,oedipodium,Brachythecium oedipodium
BRAC REF,Brachythecium,reflexum,Brachythecium reflexum
BRAC RUT,Brachythecium,rutabulum,Brachythecium rutabulum
BRAC SAL,Brachythecium,salebrosum,Brachythecium salebrosum
BRAC STA,Brachythecium,starkei,Brachythecium starkei
BRAC VEL,Brachythecium,velutinum,Brachythecium velutinum
BRACHYTZ,,,Brachythecium sp.
BRYU CAP,Bryum,capillare,Bryum capillare
BUXB VIR,Buxbaumia,viridis,Buxbaumia viridis
CALL COR,Calliergon,cordifolium,Calliergon cordifolium
CALL STR,Calliergon,stramineum,Calliergon stramineum
CALY AZU,Calypogeia,azurea,Calypogeia azurea
CALY INT,Calypogeia,integristipula,Calypogeia integristipula
CALY MUE,Calypogeia,muelleriana,Calypogeia muelleriana
CALY NEE,Calypogeia,neesiana,Calypogeia neesiana
CALY SPH,Calypogeia,sphagnicola,Calypogeia sphagnicola
CALYPOGZ,,, 
CAMP STE,Campanula,stenocodon,Campanula stenocodon
CEPH BIC,Cephalozia,bicuspidata,Cephalozia bicuspidata
CEPH DIV,Cephaloziella,divaricata,Cephaloziella divaricata
CEPH PLE,Cephalozia,pleniceps,Cephalozia pleniceps
CEPH RUB,Cephaloziella,rubella,Cephaloziella rubella
CEPHALAZ,,,Cephaloziella sp.
CEPHALEZ,,, 
CERA PUR,Ceratodon,purpureus,Ceratodon purpureus
CET CUCU,Cetraria,cucculata,Cetraria cucculata
CET ERIC,Cetraria,ericetorum,Cetraria ericetorum
CET ISLA,Cetraria,islandica,Cetraria islandica
CET NIVA,Cetraria,nivalis,Cetraria nivalis
CHIL CUS,,,Chiloscyphus cuspidatus
CHIL LAT,,,Chiloscyphus latifolius
CHIL PAL,,,Chiloscyphus pallescens
CHIL POL,Chiloscyphus,polyanthos,Chiloscyphus polyanthos
CHIL PRO,,,Chiloscyphus profundus
CHILOSCZ,,, 
CIRR PIL,Cirriphyllum,piliferum,Cirriphyllum piliferum
CLA AMAU,Cladonia,amaurocraea,Cladonia amaurocraea
CLA ARBU,Cladonia,arbuscula,Cladonia arbuscula
CLA BELL,Cladonia,bellidiflora,Cladonia bellidiflora
CLA BOTR,Cladonia,botrytes,Cladonia botrytes
CLA CARN,Cladonia,carneola,Cladonia carneola
CLA CENO,Cladonia,cenotea,Cladonia cenotea
CLA CHLO,Cladonia,chlorophaea,Cladonia chlorophaea
CLA COCC,Cladonia,coccifera,Cladonia coccifera
CLA CONR,,,Cladonia coniocraea
CLA CORN,Cladonia,cornuta,Cladonia cornuta
CLA CRIS,Cladonia,crispata,Cladonia crispata
CLA CYAN,,,Cladonia cyathomorpha
CLA DEFO,Cladonia,deformis,Cladonia deformis
CLA DIGI,Cladonia,digitata,Cladonia digitata
CLA FIMB,Cladonia,fimbriata,Cladonia fimbriata
CLA FURC,Cladonia,furcata,Cladonia furcata
CLA GRAC,Cladonia,gracilis,Cladonia gracilis
CLA MACE,,,Cladonia macroceras
CLA MACI,Cladonia,macilenta,Cladonia macilenta
CLA MACP,,,Cladonia macrophylla
CLA OCHR,,,Cladonia ochrochloraÂ 
CLA ORAN,,,Cladonia rangiferina
CLA PHYL,Cladonia,phyllophora,Cladonia phyllophora
CLA PLEU,Cladonia,pleurota,Cladonia pleurota
CLA PYXI,Cladonia,pyxidata,Cladonia pyxidata
CLA SQUA,Cladonia,squamosa,Cladonia squamosa
CLA STEL,Cladonia,stellaris,Cladonia stellaris
CLA SULP,Cladonia,sulphurina,Cladonia sulphurina
CLA UNCI,Cladonia,uncialis,Cladonia uncialis
CLADON1Z,,,Cladonia sp.
CLADONIZ,,,Cladonia sp.
CTEN MOL,Ctenidium,molluscum,Ctenidium molluscum
DICR ACU,Dicranum,acutifolium,Dicranum acutifolium
DICR AFF,,,Dicranum affine
DICR BON,Dicranum,bonjeanii,Dicranum bonjeanii
DICR BRE,Dicranum,brevifolium,Dicranum brevifolium
DICR DEN,,,Dicranum densifolium
DICR DRU,Dicranum,drummondii,Dicranum drummondii
DICR FLE,Dicranum,flexicaule,Dicranum flexicaule
DICR FUS,Dicranum,fuscescens,Dicranum fuscescens
DICR HET,,,Dicranella heteromalla
DICR MAJ,Dicranum,majus,Dicranum majus
DICR MON,,,Dicranum montanum
DICR MXS,,, 
DICR POL,Dicranum,polysetum,Dicranum polysetum
DICR SCP,Dicranum,scoparium,Dicranum scoparium
DICR SPA,Dicranum,spadiceum,Dicranum spadiceum
DICRANUZ,,, 
DIPL ALB,Diplophyllum,albicans,Diplophyllum albicans
DITR PAL,Ditrichum,pallidum,Ditrichum pallidum
DREP UNC,Drepanocladus,uncinatus,Drepanocladus uncinatus
EURH ANG,Eurhynchium,angustirete,Eurhynchium angustirete
EURH PUL,Eurhynchium,pulchellum,Eurhynchium pulchellum
EURH STM,Eurhynchium,striatulum,Eurhynchium striatulum
FISS DUB,Fissidens,dubius,Fissidens dubius
FISS TAX,Fissidens,taxifolius,Fissidens taxifolius
FISSIDEZ,,, 
HARP FLO,Harpanthus,flotovianus,Harpanthus flotovianus
HEPATICE,,, 
HERZ SEL,Herzogiella,seligeri,Herzogiella seligeri
HYLO SPL,Hylocomium,splendens,Hylocomium splendens
HYLO UMB,Hylocomium,umbratum,Hylocomium umbratum
HYP PHYS,,,Hypogymnia physodes
HYPN CUP,Hypnum,cupressiforme,Hypnum cupressiforme
HYPN JUT,Hypnum,jutlandicum,Hypnum jutlandicum
HYPN PAL,Hypnum,pallescens,Hypnum pallescens
HYPN REC,Hypnum,recurvatum,Hypnum recurvatum
ICM ERIC,Icmadophila,ericetorum,Icmadophila ericetorum
ISOT ALO,Isothecium,alopecuroides,Isothecium alopecuroides
JAME AUT,Jamesoniella,autumnalis,Jamesoniella autumnalis
LEPI REP,,,Lepidozia reptans
LOPH ASC,Lophozia,ascendens,Lophozia ascendens
LOPH BIC,Lophozia,bicrenata,Lophozia bicrenata
LOPH BID,,,Lophocolea bidentata
LOPH HEP,,,Lophocolea heterophylla
LOPH OBT,Lophozia,obtusa,Lophozia obtusa
LOPH OPA,Lophozia,opacifolia,Lophozia opacifolia
LOPH SIL,,,Lophozia silvicola
LOPH SUD,Lophozia,sudetica,Lophozia sudetica
LOPH VEN,Lophozia,ventricosa,Lophozia ventricosa
LOPH WEN,Lophozia,wenzelii,Lophozia wenzelii
LOPHCILI,,, 
LOPHOCOZ,,, 
LOPHOZIZ,,, 
MARCHIDA,,, 
MARS EMA,Marsupella,emarginata,Marsupella emarginata
MNIU HOR,Mnium,hornum,Mnium hornum
MNIU SPO,,,Mnium spinosum
MNIUM  Z,,, 
MYLI ANO,Mylia,anomala,Mylia anomala
NEP ARCT,Nephroma,arcticum,Nephroma arcticum
OCH FRIG,,,Ochrolechia frigida
ORTH MON,,,Orthodicranum montanum
PARA LON,Paraleucobryum,longifolium,Paraleucobryum longifolium
PEL APHT,Peltigera,aphthosa,Peltigera aphthosa
PEL MALA,Peltigera,malacea,Peltigera malacea
PEL POLY,Peltigera,polydactylon,Peltigera polydactylon
PEL SCAA,Peltigera,scabrosa,Peltigera scabrosa
PELT SPE,,, 
PELTIGEZ,,, 
PLA GLAU,,,Platismatia glauca
PLAG AFF,Plagiomnium,affine,Plagiomnium affine
PLAG ASP,,,Plagiochila asplenioides
PLAG CUR,Plagiothecium,curvifolium,Plagiothecium curvifolium
PLAG CUS,Plagiomnium,cuspidatum,Plagiomnium cuspidatum
PLAG DEN,Plagiothecium,denticulatum,Plagiothecium denticulatum
PLAG LAE,Plagiothecium,laetum,Plagiothecium laetum
PLAG POR,,,Plagiochila porelloides
PLAG UNM,,,Plagiomnium undulatum
PLAG UNT,,,Plagiothecium undulatum
PLAGIOTZ,,, 
PLAT REP,Platygyrium,repens,Platygyrium repens
PLEU ACU,Pleuridium,acuminatum,Pleuridium acuminatum
PLEU SCH,Pleurozium,schreberi,Pleurozium schreberi
POGO ALO,Pogonatum,aloides,Pogonatum aloides
POHL NUT,Pohlia,nutans,Pohlia nutans
POHL SPH,Pohlia,sphagnicola,Pohlia sphagnicola
POHLIA Z,,, 
POLY COM,Polytrichum,commune,Polytrichum commune
POLY FOR,Polytrichum,formosum,Polytrichum formosum
POLY JUN,Polytrichum,juniperinum,Polytrichum juniperinum
POLY PIL,Polytrichum,piliferum,Polytrichum piliferum
POLY STR,Polytrichum,strictum,Polytrichum strictum
PTIL CIL,Ptilidium,ciliare,Ptilidium ciliare
PTIL CRI,Ptilium,crista-castrensis,Ptilium crista-castrensis
PTIL PUL,Ptilidium,pulcherrimum,Ptilidium pulcherrimum
RACO HET,Racomitrium,heterostichum,Racomitrium heterostichum
RHIZ PSE,Rhizomnium,pseudopunctatum,Rhizomnium pseudopunctatum
RHIZ PUN,Rhizomnium,punctatum,Rhizomnium punctatum
RHOD ROS,Rhodobryum,roseum,Rhodobryum roseum
RHYN MUR,Rhynchostegium,murale,Rhynchostegium murale
RHYT LOR,Rhytidiadelphus,loreus,Rhytidiadelphus loreus
RHYT SQU,Rhytidiadelphus,squarrosus,Rhytidiadelphus squarrosus
RHYT SUB,Rhytidiadelphus,subpinnatus,Rhytidiadelphus subpinnatus
RHYT TRI,Rhytidiadelphus,triquetrus,Rhytidiadelphus triquetrus
SANI UNC,,,Sanionia uncinata
SCAP IRR,Scapania,irrigua,Scapania irrigua
SCAP NEM,Scapania,nemorea,Scapania nemorea
SCAP PAI,,,Scapania paludicola
SCAPANIZ,,, 
SCLE PUR,,,Scleropodium purum
SPH GLOB,,,Sphaerophorus globosus
SPHA A/F,,, 
SPHA ANN,Sphagnum,annulatum,Sphagnum annulatum
SPHA ANU,,,Sphagnum annulatum
SPHA AUR,,,Sphagnum auriculatum
SPHA BAL,Sphagnum,balticum,Sphagnum balticum
SPHA CAP,Sphagnum,capillifolium,Sphagnum capillifolium
SPHA FAL,Sphagnum,fallax,Sphagnum fallax
SPHA FUS,Sphagnum,fuscum,Sphagnum fuscum
SPHA GIR,Sphagnum,girgensohnii,Sphagnum girgensohnii
SPHA LIN,Sphagnum,lindbergii,Sphagnum lindbergii
SPHA MAG,Sphagnum,magellanicum,Sphagnum magellanicum
SPHA PAL,Sphagnum,palustre,Sphagnum palustre
SPHA PAP,Sphagnum,papillosum,Sphagnum papillosum
SPHA QUI,Sphagnum,quinquefarium,Sphagnum quinquefarium
SPHA RIP,Sphagnum,riparium,Sphagnum riparium
SPHA RUS,Sphagnum,russowii,Sphagnum russowii
SPHA TER,Sphagnum,teres,Sphagnum teres
SPHA WAR,Sphagnum,warnstorfii,Sphagnum warnstorfii
SPHAGNUZ,,, 
SPLACHNZ,,, 
STE PASC,Stereocaulon,paschale,Stereocaulon paschale
STEREOCZ,,, 
TETR MNI,Tetraplodon,mnioides,Tetraplodon mnioides
TETR PEL,Tetraphis,pellucida,Tetraphis pellucida
THUI TAM,Thuidium,tamariscinum,Thuidium tamariscinum
TORT TOR,Tortella,tortuosa,Tortella tortuosa
TRIT QUI,Tritomaria,quinquedentata,Tritomaria quinquedentata
